,RE,Hour,X_start,Y_start,X_end,Y_end
0,410.0652865188167,11,46.4870066,30.7329909,46.4910514,30.7233557
1,407.24484799521684,18,46.481606,30.7322459,33.0673948,117.3223436
2,226.8165919692719,7,46.4624727,30.7455146,-18.493081,-49.023335
3,428.09861133863643,17,46.4684401,30.7396111,46.4244327,30.7243469
4,176.8315436971635,18,,,13.2571996,10.4763909
5,259.52311761661633,3,46.485215,30.722006,46.4871091,30.7222788
6,499.80277674247895,21,46.4725074,30.7413197,46.4548563,30.7453383
7,433.24296880531637,12,46.4233564,30.7468682,46.4357839,30.738713
8,319.48597964048446,9,46.4684401,30.7396111,46.4727833,30.7392664
9,62.63351057496946,7,46.4924172,30.7139329,46.4905334,30.7187428
10,303.06484749650974,12,46.4685241,30.7382746,46.4677793,30.7376958
11,416.9488214590916,18,46.4684401,30.7396111,46.4683432,30.7408402
12,204.43148120412224,17,46.4489792,30.7331369,-18.4943541,-49.0249221
13,187.4430978725667,13,46.4730633,30.6561417,46.4737249,30.6529
14,518.8425613299349,9,46.4697579,30.7367331,41.6437445,-85.275418
15,307.6980752620365,18,46.4002626,30.7324964,46.4002626,30.7324964
16,236.6291098174671,8,46.4624727,30.7455146,46.4302225,30.722883
17,146.83934514518754,12,46.4002626,30.7324964,46.3977479,30.7358422
18,330.2416325501266,6,46.4890082,30.7198605,46.482198,30.6860262
19,248.3414753381894,12,,,37.9254265,139.115591
20,250.73428034492548,16,46.4242154,30.7050349,46.4192855,30.7150706
21,216.68446536134385,14,46.4601851,30.6892894,,
22,288.71543584213254,13,46.4684401,30.7396111,46.4321895,30.7485915
23,179.53471635870747,17,46.4883667,30.7235889,46.4737569,30.7242945
24,376.71384813698154,3,46.4759731,30.7497263,46.4819377,30.7486244
25,180.49000799170207,7,46.4718364,30.7308988,46.4719699,30.7277349
26,165.33064101180764,10,46.4061894,30.7104919,41.7310652,8.7321153
27,438.840479370779,1,46.4843,30.7204563,46.4709392,30.7177405
28,393.32061462743746,20,46.477339,30.7316602,50.8617044,5.1109055
29,181.20281168172187,10,46.4183977,30.7333802,46.4321895,30.7485915
30,79.54472779249394,9,46.4702214,30.7532757,,
31,166.11731261727925,4,46.4396071,30.7572752,46.4570529,30.75915
32,188.2162695435463,7,,,46.4291437,30.7280386
33,422.3449702143371,18,46.4739249,30.7553636,46.4730955,30.7539368
34,446.6341280390591,23,46.4629781,30.7273316,46.4666018,30.7275443
35,308.2143897781147,22,46.4061894,30.7104919,14.2442327,38.49949
36,465.65156685859785,6,46.4358217,30.7592109,46.432317,30.7649815
37,600.7600514169818,16,46.4684401,30.7396111,46.4727833,30.7392664
38,199.779459648064,17,46.3910435,30.7234687,,
39,258.0013534690154,6,46.5773501,30.7968041,46.5756382,30.7946366
40,306.9748767146881,22,46.4273982,30.7561876,46.4321718,30.7608926
41,163.22427164121856,9,46.4678,30.7464076,46.1749163,10.365401
42,207.89049911311048,13,46.4349973,30.726903,46.4321895,30.7485915
43,228.83474942415543,5,46.481606,30.7322459,46.4817269,30.7307147
44,329.4021824398096,5,46.4552919,30.7540494,39.3920468,30.0382851
45,425.132796415117,1,46.481606,30.7322459,46.4826514,30.7323864
46,267.5136263312389,12,46.4759731,30.7497263,46.4851766,30.7467994
47,143.06532729329558,6,46.3913914,30.7238627,41.7310652,8.7321153
48,234.8301531069679,12,46.4685241,30.7382746,46.4677793,30.7376958
49,492.2092940925787,8,46.4718364,30.7308988,46.4657363,30.718724
50,494.52840428815745,16,46.4076354,30.7298697,46.4187132,30.7262794
51,491.8926680614445,16,46.4772067,30.7266522,46.4769382,30.7261811
52,394.6058142819289,7,46.4409495,30.7571453,46.4537717,30.7530128
53,340.88830269306146,13,46.4953953,30.7200656,33.1015094,117.3217642
54,180.35196707190153,17,46.5761781,30.8002363,46.5750135,30.8069232
55,553.8238285035565,8,46.5834939,30.76735,,
56,375.6698549483777,19,46.4725074,30.7413197,46.4754809,30.7417755
57,522.9053518617133,10,46.4263005,30.7175511,46.4302225,30.722883
58,355.5146829844828,18,46.4741164,30.7394724,46.4321895,30.7485915
59,298.0798612362483,9,46.4693812,30.7424715,46.4371259,30.7314841
60,540.2191692624759,14,46.4684401,30.7396111,46.4321895,30.7485915
61,362.207184591909,23,46.4725074,30.7413197,46.4650237,30.7414359
62,443.0992443413377,8,,,46.4654275,30.6994318
63,597.6621752784218,21,46.3946619,30.7241809,46.3905981,30.7237057
64,348.3078746880476,7,46.4769264,30.7063141,46.4789604,30.7297346
65,565.1698215821741,13,46.4128308,30.7201633,47.5696381,-3.1246501
66,274.3548929475972,4,46.4128308,30.7201633,46.1756347,10.3647416
67,272.8750289042136,12,,,46.3975603,30.7114859
68,298.3808587114018,7,46.4574174,30.7588746,39.392469,30.0367638
69,596.5591051534014,18,46.4173043,30.7264673,46.413797,30.7277407
70,303.21983729154056,3,46.4625391,30.7135482,46.4394583,30.6463439
71,358.13021346531434,9,46.398056,30.714988,46.3841407,30.7151183
72,313.8517462852597,17,,,46.4000719,30.7370606
73,123.6676524190148,15,46.457594,30.7391662,46.4535697,30.7289471
74,603.2722874453306,16,46.4972256,30.7213613,,
75,121.04763536218921,16,46.4002626,30.7324964,46.4227479,30.7247108
76,326.39864513405,17,46.4648434,30.7065873,46.455468,30.7443566
77,643.1596532621493,20,46.4301349,30.7284229,,
78,529.8293973465838,20,46.4141969,30.7539583,46.4134799,30.755536
79,384.61585172520563,21,46.4684401,30.7396111,46.4683432,30.7408402
80,218.43532964623142,12,46.4686835,30.7528819,46.4570529,30.75915
81,285.12080098680127,3,46.4843,30.7204563,46.4877358,30.6990221
82,541.4172992779528,14,46.3991894,30.723149,47.5706275,-3.124909
83,232.25455453058353,10,46.4242154,30.7050349,56.5719318,13.147164
84,476.1470262521753,19,46.4183977,30.7333802,46.4185426,30.7358458
85,565.2361090680599,18,46.4378561,30.7455816,-18.4943287,-49.0247772
86,349.5773634901438,14,46.4239496,30.7211777,56.5719318,13.147164
87,330.35587846718664,18,46.4730955,30.7539368,46.4856855,30.714351
88,525.827465876007,0,46.4447575,30.7499866,46.4434819,30.750018
89,411.2372467735613,11,46.4273982,30.7561876,46.4408026,30.7546261
90,365.9397972926774,22,46.4741164,30.7394724,46.4740228,30.7407993
91,451.2241165384477,14,46.3989818,30.7229935,46.3894065,30.7232806
92,260.8740252752179,6,46.4242154,30.7050349,46.4269057,30.6983251
93,346.7463561618722,12,46.4732562,30.7311014,46.4657363,30.718724
94,659.8527160207015,8,46.4002626,30.7324964,46.4055568,30.7306244
95,284.6277918761926,12,46.4706574,30.7468872,46.4663222,30.7461169
