,delta_time
0,184.93471348118328
1,372.75515200478316
2,95.18340803072809
3,282.90138866136357
4,147.1684563028365
5,56.47688238338367
6,113.19722325752105
7,255.75703119468363
8,409.51402035951554
9,306.3664894250305
10,503.93515250349026
11,130.05117854090838
12,131.56851879587776
13,128.5569021274333
14,330.15743867006506
15,215.30192473796347
16,215.3708901825329
17,202.16065485481246
18,361.7583674498734
19,260.65852466181065
20,132.26571965507452
21,129.31553463865615
22,147.28456415786746
23,150.46528364129253
24,107.28615186301852
25,540.5099920082979
26,88.66935898819239
27,30.15952062922105
28,222.67938537256254
29,62.79718831827816
30,300.455272207506
31,431.88268738272075
32,274.7837304564538
33,58.655029785662975
34,19.36587196094098
35,178.78561022188535
36,361.34843314140215
37,50.23994858301819
38,336.220540351936
39,465.9986465309846
40,-10.974876714688094
41,252.77572835878144
42,400.1095008868895
43,106.16525057584457
44,313.5978175601904
45,128.867203584883
46,316.4863736687611
47,213.93467270670442
48,422.16984689303206
49,246.79070590742128
50,198.47159571184255
51,199.1073319385555
52,364.3941857180711
53,41.11169730693854
54,111.64803292809847
55,408.17617149644354
56,410.3301450516223
57,366.09464813828674
58,400.4853170155172
59,226.9201387637517
60,408.78083073752407
61,62.79281540809097
62,79.90075565866232
63,121.33782472157816
64,361.6921253119524
65,331.8301784178259
66,164.6451070524028
67,154.1249710957864
68,149.6191412885982
69,137.44089484659855
70,117.78016270845944
71,284.86978653468566
72,233.1482537147403
73,91.3323475809852
74,336.72771255466944
75,168.95236463781077
76,183.60135486595004
77,212.84034673785072
78,336.17060265341615
79,298.38414827479437
80,215.56467035376858
81,348.87919901319873
82,175.5827007220472
83,366.7454454694165
84,53.852973747824706
85,243.76389093194007
86,307.4226365098562
87,114.64412153281336
88,76.17253412399305
89,250.7627532264387
90,247.06020270732262
91,471.7758834615523
92,84.12597472478211
93,230.2536438381278
94,242.14728397929855
95,309.3722081238074
96,136.40974167056766
97,437.092585498665
98,215.23410519785244
99,214.07944520520584
100,415.3020821657346
101,103.73630514402743
102,112.63968459765351
103,256.878075867869
104,283.60771093703687
105,146.12854113899974
106,309.50900718559774
107,88.52812684314034
108,245.28539186992754
109,251.42303359865446
110,141.01319876348373
111,293.4221898708359
112,73.96825604584137
113,430.2038495770329
114,429.5572995971427
115,151.4750839568352
116,-94.25291790254028
117,12.233647210516494
118,384.5124782070965
119,307.4547350833268
120,194.08576255866762
121,106.2181130437262
122,340.24009196176274
123,485.76879483090295
124,243.8661386664898
125,243.5437755900657
126,240.6808867191237
127,49.77682051127988
128,583.8334634867588
